,Unnamed: 0,ids,correct,classification
0,0,[1],False,0
1,1,[2],False,2
2,2,[4],False,1
3,3,[5],True,3
4,4,[6],False,1
5,5,"[7, 57]",False,2
6,6,[8],False,1
7,7,"[9, 13, 17, 18, 29, 33, 50, 65, 71, 76, 82]",True,3
8,8,[10],True,3
9,9,"[11, 26, 34, 39, 52, 60, 64, 75]",True,3
10,10,[12],True,3
11,11,[15],False,0
12,12,[16],False,1
13,13,[20],False,2
14,14,[22],False,1
15,15,[23],True,3
16,16,[24],False,0
17,17,[25],False,2
18,18,[27],True,3
19,19,[28],True,3
20,20,[30],True,3
21,21,[31],False,2
22,22,[32],True,3
23,23,[35],False,2
24,24,[36],False,2
25,25,[37],False,1
26,26,[38],False,1
27,27,"[40, 70, 81]",False,1
28,28,[41],False,1
29,29,[43],True,3
30,30,[44],False,2
31,31,[45],True,3
32,32,[47],False,2
33,33,[48],False,0
34,34,[54],False,2
35,35,[55],True,3
36,36,[56],True,3
37,37,[59],False,0
38,38,[61],False,2
39,39,[62],False,1
40,40,[63],True,3
41,41,"[68, 79]",True,3
42,42,"[69, 80]",True,3
43,43,[73],True,0
44,44,[74],False,3
