,Unnamed: 0,ids,correct,classification
0,0,"[1, 22, 33, 35, 39, 51]",True,3
1,1,[2],False,0
2,2,[3],False,0
3,3,[4],False,1
4,4,[5],False,2
5,5,[6],False,1
6,6,[7],True,3
7,7,"[8, 24, 48, 50, 55, 63]",True,3
8,8,[9],False,1
9,9,[10],False,2
10,10,[11],True,3
11,11,"[12, 14]",False,1
12,12,[15],False,2
13,13,[16],False,1
14,14,[17],True,3
15,15,[18],False,0
16,16,[19],False,1
17,17,[20],False,1
18,18,"[21, 45]",False,2
19,19,[23],True,3
20,20,[25],False,2
21,21,[26],False,0
22,22,[27],False,1
23,23,[28],False,1
24,24,[29],False,1
25,25,[30],False,0
26,26,[31],False,1
27,27,[32],False,2
28,28,[34],False,1
29,29,[36],False,1
30,30,[37],False,2
31,31,[38],False,2
32,32,[40],False,2
33,33,[41],True,3
34,34,"[42, 59]",True,3
35,35,[43],False,2
36,36,[44],False,2
37,37,[46],True,3
38,38,[47],False,1
39,39,[49],False,1
40,40,[53],False,2
41,41,[54],False,2
42,42,[56],False,0
43,43,[57],False,1
44,44,[58],False,1
45,45,[60],False,2
46,46,"[61, 64]",False,2
47,47,[62],False,2
